"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","PAD District"
"Time:","01/1981 - 08/2022"
"Unit of Measure:","Barrels","Barrels","Barrels","Barrels","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production | PAD District 1 - East Coast, PAD District 2 - Midwest, PAD District 3 - Gulf Coast, PAD District 4 - Rocky Mountains, PAD District 5 - West Coast, 01/1981 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP18466CF9BE085"
"ColumnCount:",6
"RowCount:",500

"Time","PAD District 1 - East Coast (Barrels)","PAD District 2 - Midwest (Barrels)","PAD District 3 - Gulf Coast (Barrels)","PAD District 4 - Rocky Mountains (Barrels)","PAD District 5 - West Coast (Barrels)"
"11/1989",1031000,22639000,100098000,15090000,8731000
"12/1989",933000,21490000,99649000,15535000,8970000
"01/1990",1078000,24345000,104602000,15660000,8987000
"02/1990",974000,20835000,95225000,14227000,8097000
"03/1990",954000,23107000,103793000,15743000,8979000
"04/1990",963000,22070000,100624000,15060000,8578000
"05/1990",962000,22849000,102615000,15684000,8952000
"06/1990",874000,21677000,98409000,14971000,8586000
"07/1990",847000,22537000,101738000,15114000,8592000
"08/1990",861000,23623000,102782000,15242000,8715000
"09/1990",816000,21949000,99191000,14757000,8382000
"10/1990",865000,23664000,105043000,15442000,8859000
"11/1990",824000,22679000,101341000,14985000,8578000
"12/1990",876000,21322000,103708000,14838000,8551000
"01/1991",848000,22350000,106978000,15228000,8708000
"02/1991",768000,21209000,97369000,13897000,7879000
"03/1991",766000,22924000,107107000,15287000,8637000
"04/1991",844000,22415000,104338000,14810000,8344000
"05/1991",816000,22893000,106413000,14869000,8429000
"06/1991",582000,21600000,101426000,14359000,8115000
"07/1991",754000,22677000,104229000,14795000,8393000
"08/1991",786000,22294000,104720000,14839000,8502000
"09/1991",818000,21011000,102079000,14251000,8081000
"10/1991",946000,21785000,105650000,14407000,8289000
"11/1991",854000,20781000,101539000,14013000,8079000
"12/1991",879000,21347000,106000000,14601000,8472000
"01/1992",898000,21647000,106196000,14324000,8495000
"02/1992",797000,20159000,99221000,13701000,7877000
"03/1992",851000,21568000,105808000,14509000,8346000
"04/1992",834000,21232000,101477000,13981000,8044000
"05/1992",817000,20880000,103837000,14440000,8306000
"06/1992",839000,20583000,100033000,13807000,7943000
"07/1992",805000,21027000,103399000,14239000,8259000
"08/1992",844000,20766000,98631000,14067000,8127000
"09/1992",832000,20189000,96415000,13687000,7827000
"10/1992",861000,20661000,103081000,13966000,7973000
"11/1992",811000,18948000,98569000,13425000,7748000
"12/1992",854000,20905000,102379000,13653000,7866000
"01/1993",848000,19502000,101727000,13499000,7651000
"02/1993",725000,17589000,92080000,11960000,6597000
"03/1993",813000,20409000,101162000,13673000,7663000
"04/1993",846000,19835000,97486000,12842000,7279000
"05/1993",850000,19279000,100422000,13711000,7514000
"06/1993",821000,19445000,96904000,12992000,7377000
"07/1993",836000,20186000,98984000,13193000,7477000
"08/1993",868000,19457000,99137000,13116000,7375000
"09/1993",856000,18995000,96003000,12664000,7140000
"10/1993",883000,19218000,99206000,13048000,7330000
"11/1993",850000,18608000,96412000,12553000,6965000
"12/1993",836000,18404000,99043000,13081000,7301000
"01/1994",787000,18103000,99229000,12873000,7299000
"02/1994",841000,16904000,89228000,11694000,6556000
"03/1994",907000,19016000,98879000,12819000,7057000
"04/1994",928000,18032000,94628000,12195000,6742000
"05/1994",953000,18784000,97116000,12642000,6946000
"06/1994",919000,18122000,93598000,12074000,6686000
"07/1994",907000,17931000,95165000,11411000,5874000
"08/1994",914000,18256000,96129000,11635000,6128000
"09/1994",896000,17528000,93626000,12024000,6632000
"10/1994",935000,17740000,95767000,12217000,6715000
"11/1994",922000,17605000,94026000,11715000,6422000
"12/1994",928000,18089000,97534000,12031000,6470000
"01/1995",852000,17906000,97435000,12437000,6712000
"02/1995",791000,16674000,88631000,13034000,7879000
"03/1995",920000,18100000,96510000,12133000,6394000
"04/1995",870000,17427000,94089000,11763000,6232000
"05/1995",888000,17681000,98167000,12026000,6477000
"06/1995",884000,17313000,93931000,11599000,6481000
"07/1995",828000,16984000,97064000,11880000,6573000
"08/1995",797000,17782000,95006000,11727000,6443000
"09/1995",798000,16869000,93103000,11557000,6403000
"10/1995",782000,17485000,93104000,11813000,6514000
"11/1995",744000,17130000,94759000,11521000,6274000
"12/1995",741000,16982000,97109000,11888000,6503000
"01/1996",712000,17303000,97493000,11473000,6345000
"02/1996",659000,16390000,91811000,10884000,6041000
"03/1996",780000,17336000,99092000,11288000,6155000
"04/1996",879000,17601000,94403000,10989000,5947000
"05/1996",885000,17544000,97639000,11072000,5995000
"06/1996",855000,16770000,93860000,10782000,5837000
"07/1996",904000,17408000,96868000,11122000,5968000
"08/1996",873000,17076000,97368000,11383000,6325000
"09/1996",834000,17061000,95010000,11168000,6151000
"10/1996",879000,17631000,99291000,11258000,6112000
"11/1996",847000,16025000,95973000,10978000,6158000
"12/1996",877000,17477000,99994000,11240000,6330000
"01/1997",868000,17195000,98140000,11118000,6001000
"02/1997",756000,15697000,91244000,10255000,5494000
"03/1997",828000,17657000,100219000,11301000,6052000
"04/1997",817000,16613000,97478000,10690000,5766000
"05/1997",789000,18187000,101239000,11163000,6088000
"06/1997",772000,17090000,98529000,10750000,5794000
"07/1997",756000,17818000,101364000,11083000,5997000
"08/1997",799000,17085000,101243000,10965000,5902000
"09/1997",777000,16987000,99581000,10509000,5681000
"10/1997",786000,16676000,103477000,10960000,5887000
"11/1997",745000,15787000,100594000,10610000,5575000
"12/1997",801000,17571000,103910000,11232000,5939000
"01/1998",824000,17308000,106453000,11049000,5945000
"02/1998",737000,15524000,95592000,9568000,4891000
"03/1998",775000,15592000,105573000,10682000,5529000
"04/1998",797000,16516000,103313000,10566000,5571000
"05/1998",847000,16484000,104584000,10039000,5075000
"06/1998",832000,15214000,100303000,10290000,5463000
"07/1998",843000,16022000,100838000,10364000,5504000
"08/1998",818000,15735000,102100000,10279000,5411000
"09/1998",773000,14989000,88266000,10010000,5263000
"10/1998",800000,15437000,99720000,10003000,5458000
"11/1998",766000,14592000,96692000,9967000,5409000
"12/1998",830000,14425000,98588000,10011000,5263000
"01/1999",700000,13800000,97240000,9739000,5329000
"02/1999",621000,13387000,88682000,8756000,4739000
"03/1999",684000,13952000,95934000,9591000,5296000
"04/1999",679000,13982000,95211000,9167000,5064000
"05/1999",626000,13970000,98015000,9414000,5197000
"06/1999",628000,13741000,94927000,9121000,4994000
"07/1999",685000,13853000,98896000,9298000,5125000
"08/1999",703000,14356000,97707000,9370000,5165000
"09/1999",674000,13939000,96540000,9087000,5066000
"10/1999",689000,13994000,100521000,9245000,5110000
"11/1999",689000,14033000,98621000,8898000,4999000
"12/1999",670000,14288000,101616000,9100000,5042000
"01/2000",606000,14341000,97380000,9496000,5185000
"02/2000",564000,13905000,92304000,8884000,4872000
"03/2000",662000,15242000,100736000,9490000,5201000
"04/2000",624000,14292000,96156000,9098000,5001000
"05/2000",692000,14954000,100057000,9402000,5197000
"06/2000",656000,14587000,97341000,9134000,4998000
"07/2000",653000,14578000,99064000,9254000,5069000
"08/2000",679000,15340000,100075000,9214000,5087000
"09/2000",658000,14603000,96667000,8938000,4948000
"10/2000",687000,14191000,99884000,9264000,5150000
"11/2000",642000,13992000,96612000,8946000,4962000
"12/2000",621000,13950000,100447000,9146000,5056000
"01/2001",679000,14079000,100698000,9072000,5002000
"02/2001",591000,12804000,90028000,8139000,4494000
"03/2001",641000,14813000,101127000,9077000,4970000
"04/2001",635000,14138000,98598000,8768000,4802000
"05/2001",667000,14306000,102356000,9032000,4931000
"06/2001",617000,13961000,97945000,8599000,4665000
"07/2001",608000,13926000,101449000,8867000,4847000
"08/2001",634000,13988000,100403000,8812000,4762000
"09/2001",608000,13344000,97885000,8649000,4721000
"10/2001",622000,14403000,102141000,8858000,4823000
"11/2001",583000,13641000,98928000,8545000,4656000
"12/2001",564000,13885000,102286000,8701000,4760000
"01/2002",684000,13871000,101582000,9148000,4723000
"02/2002",619000,12406000,92098000,8237000,4238000
